date,city,state,injured,killed,lat,lng
"October 22, 2017",Hartford,Connecticut,4,0,41.7645491,-72.6908672
"October 21, 2017",Jacksonville,Florida,4,0,30.3321838,-81.6556509
"October 21, 2017",Chester,Pennsylvania,4,0,39.849557,-75.3557457
"October 21, 2017",Nashville,Tennessee,4,0,36.1622296,-86.774353
"October 21, 2017",Tampa,Florida,4,0,27.9477595,-82.4584439
"October 18, 2017",Edgewood,Maryland,3,3,39.4187194,-76.2944015
"October 17, 2017",Brooklyn,New York,4,0,40.6501038,-73.9495822
"October 16, 2017",Meridian,Mississippi,3,1,32.3643098,-88.7036559
"October 15, 2017",Houston,Texas,2,2,29.7589382,-95.3676973
"October 15, 2017",Phoenix,Arizona,3,1,33.4485866,-112.0773455
"October 12, 2017",Aliso Viejo,California,2,2,33.5761376,-117.7258121
"October 11, 2017",Pedro,Ohio,0,4,38.630357,-82.6673851
"October 10, 2017",San Francisco,California,4,0,37.7792808,-122.4192362
"October 9, 2017",Houston,Texas,5,0,29.7589382,-95.3676973
"October 7, 2017",Phoenix,Arizona,4,0,33.4485866,-112.0773455
"October 6, 2017",Chicago,Illinois,5,0,41.8755546,-87.6244211
"October 5, 2017",Casa Grande,Arizona,0,4,32.8793816,-111.7575613
"October 3, 2017",Miami,Florida,4,0,25.7742658,-80.1936588
"October 1, 2017",Las Vegas,Nevada,241,59,36.1662859,-115.1492249
"October 1, 2017",Lawrence,Kansas,2,3,38.9719384,-95.2359495
"September 30, 2017",Memphis,Tennessee,3,1,35.1490215,-90.0516284
"September 28, 2017",New Orleans,Louisiana,3,1,29.9499323,-90.0701155
"September 26, 2017",Memphis,Tennessee,4,0,35.1490215,-90.0516284
"September 26, 2017",Baltimore,Maryland,2,2,39.2908816,-76.6107589
"September 26, 2017",Philadelphia,Pennsylvania,3,1,39.9523993,-75.1635898
"September 24, 2017",Baltimore,Maryland,4,0,39.2908816,-76.6107589
"September 24, 2017",Mays Landing,New Jersey,3,1,39.4523326,-74.7276609
"September 24, 2017",Antioch,Tennessee,8,1,35.8572885,-85.7169263
"September 24, 2017",Syracuse,New York,4,0,43.0481221,-76.1474243
"September 23, 2017",Danville,Illinois,5,0,40.125222,-87.6304613
"September 23, 2017",Bakersfield,California,4,1,35.3738712,-119.0194638
"September 20, 2017",Gary,Indiana,5,0,41.6021292,-87.3371371
"September 17, 2017",Detroit,Michigan,3,1,42.3486635,-83.0567374
"September 17, 2017",Petersburg,Virginia,4,1,37.1924594,-77.3677407
"September 16, 2017",Columbia,South Carolina,8,0,34.0007493,-81.0343312
"September 13, 2017",Rockford,Washington,3,1,47.4521207,-117.130747
"September 13, 2017",York,Pennsylvania,4,0,39.962398,-76.7273919
"September 13, 2017",Philadelphia,Pennsylvania,4,0,39.9523993,-75.1635898
"September 13, 2017",Memphis,Tennessee,5,1,35.1490215,-90.0516284
"September 10, 2017",New Orleans,Louisiana,3,1,29.9499323,-90.0701155
"September 10, 2017",Plano,Texas,1,9,33.0136764,-96.6925095
"September 9, 2017",Selma,Alabama,4,0,32.4078632,-87.0207472
"September 6, 2017",Chicago,Illinois,4,0,41.8755546,-87.6244211
"September 4, 2017",Bellwood,Illinois,4,0,41.8814197,-87.8831169
"September 3, 2017",Inglewood,California,3,2,33.9616801,-118.353131
"September 2, 2017",Louisville,Kentucky,4,0,38.2542376,-85.7594069
"September 2, 2017",Chicago,Illinois,3,1,41.8755546,-87.6244211
"August 28, 2017",Clovis,New Mexico,4,2,34.405472,-103.2050708
"August 27, 2017",Sacramento,California,4,1,38.5815719,-121.4943995
"August 27, 2017",Evansville,Indiana,3,1,37.9747645,-87.5558482
"August 25, 2017",Gainesville,Florida,4,0,29.6519396,-82.324996
"August 24, 2017",Saint Louis,Missouri,0,4,38.6272733,-90.1978888
"August 22, 2017",Chicago,Illinois,4,0,41.8755546,-87.6244211
"August 21, 2017",Newark,New Jersey,4,0,40.735657,-74.1723666
"August 21, 2017",Newark,New Jersey,3,1,40.735657,-74.1723666
"August 21, 2017",Baltimore,Maryland,3,1,39.2908816,-76.6107589
"August 21, 2017",Whitakers,North Carolina,0,4,36.1055662,-77.71261
"August 21, 2017",Memphis,Tennessee,4,0,35.1490215,-90.0516284
"August 20, 2017",Chicago,Illinois,5,2,41.8755546,-87.6244211
"August 20, 2017",Brooklyn,New York,4,0,40.6501038,-73.9495822
"August 19, 2017",Cleveland,Ohio,4,1,41.5051613,-81.6934445
"August 16, 2017",Wyandanch,New York,4,0,40.7539878,-73.3603979
"August 14, 2017",North Hollywood,California,2,2,34.1729044,-118.374037
"August 13, 2017",Sacramento,California,4,0,38.5815719,-121.4943995
"August 13, 2017",Suffolk,Virginia,4,0,36.7282096,-76.5835702
"August 13, 2017",Philadelphia,Pennsylvania,5,0,39.9523993,-75.1635898
"August 12, 2017",Saint Louis,Missouri,3,1,38.6272733,-90.1978888
"August 8, 2017",Chicago,Illinois,6,1,41.8755546,-87.6244211
"August 6, 2017",Bronx,New York,6,0,40.8570333,-73.8366961
"August 6, 2017",Bronx,New York,4,0,40.8570333,-73.8366961
"August 6, 2017",Oakland,California,7,0,37.8044557,-122.2713562
"August 5, 2017",Lakewood,New Jersey,4,0,40.092024,-74.2121964
"August 5, 2017",Allendale,South Carolina,3,1,32.9635006,-81.3400055
"August 5, 2017",Tallahassee,Florida,3,1,30.4380832,-84.2809331
"August 4, 2017",Lodge Grass,Montana,2,3,45.3146237,-107.36367
"August 3, 2017",Washington,District of Columbia,3,1,38.8949549,-77.0366455
"August 2, 2017",Baltimore,Maryland,4,0,39.2908816,-76.6107589
"August 1, 2017",Toppenish,Washington,6,0,46.3775015,-120.3089382
"August 1, 2017",Fresno,California,7,0,36.7394421,-119.7848306
"August 1, 2017",Chicago,Illinois,4,0,41.8755546,-87.6244211
